phase,id,name,simple_name,synonyms,question,gender,is_searchable,is_askable,neo4j_id,types
2,506,Eyelids that appear greasy,Oily eyelids,"oily eyelids, shiny and reflective eyelids, Lubricated eyelids, Slick eyelids, Glossy eyelids, Excess sebum on eyelids",Do your eyelids appear oily?,both,True,True,630,symptom
1,633,Face swelling,,"enlarged face, bulge in face, protruded face, Facial puffiness, increase in face size, face becoming denser, face skin is rounder than normal, Facial bloating",Do you have {swelling}[Swelling is when skin becomes larger or rounder in size] in your face?,both,True,True,558,symptom
1,758,Facial pain,,"face ache, pain at cheeks, pain around eyes, face hurts, chin pain, jaw pain, forehead pain, eyebrow pain",Do you feel pain in your face?,both,True,True,487,symptom
2,219,Facial pressure,,"something is pushing down on face, Facial tightness, Face feeling heavy, Feeling of facial squeezing",Do you feel like something is pushing down on your face?,both,True,True,824,symptom
2,885,Facial tenderness,Face is sore to touch,"tender cheeks, face is sore to touch, pain from pressing on face, Facial pain from touch, Soreness in the face, sensitivity in the face, discomfort in the face",Does it hurt when you touch or apply pressure on your face?,both,True,True,357,symptom
1,1085,Family history of idiopathic pulmonary fibrosis,,,Do you have a family history of {Idiopathic pulmonary fibrosis}[Idiopathic pulmonary fibrosis is a serious disease that affects the lungs where they become scarred and difficult to expand]?,both,False,True,65,etiology
2,605,Fatigue,,"lethargy, lack of energy, feeling tired, exhausted, having no energy, feeling weak, loss of strength, body feels weak, feeling lazy, low energy","Do you feel unusually weak, exhausted, or fatigued?",both,True,True,570,symptom
2,994,Fecal incontinence,Leaking poop,"inability to control bowel movement, uncontrolled defecation, involuntary fecal loss, lack of bowel control,  involuntary leakage of feces, inability to control feces, leaking poop",Do you involuntarily let out small bits of poop?,both,True,True,330,symptom
2,574,Feet pain,,"Pain in feet, Aching feet, Discomfort in the feet",Have you been feeling pain in your feet?,both,True,True,589,symptom
2,338,Fever,,"high body temperature, febrile, increased body temperature, hyperthermia, pyrexia, raised body temperature, goosebumps, body temperature is above the normal range, body temperature is over 37 ",Do you have a {fever}[Fever is when your body temperature goes above the normal range of 36.6 – 37.2°c (98 - 99°f)]?,both,True,True,747,symptom
1,705,Finger or toe tenderness,Pain when touching finger or toe,"pain when touching finger, pain when touching toe, finger is sore to touch, toe is sore to touch, buring feeling when touching toe, buring feeling when touching finger, finger is sore to touch, toe is sore to touch, fingers hurt when touched, toes hurt when touched",Do any of your fingers or toes hurt when you touch or apply pressure on them?,both,True,True,519,symptom
2,333,Fingers clubbing,Enlargement of the fingertips and downward sloping of nails,"digital clubbing, watch-glass nails, drumstick fingers, Hippocratic fingers, Hippocratic nails, Enlargement of the fingertips and downward sloping of nails, Bulbous fingertips, Rounded fingertips, Curved nails",Are the ends of your fingers enlarged with a downward sloping of the nails?,both,True,True,751,symptom
2,817,Fissured skin at genitals,Cracked skin genitals,"chipped skin at labia, cracked skin at labia, chipped skin at genitals, chipped skin at penis, cracked skin at penis, fissured skin at vulva, cracks on vulva, cracks on penis, cracks on the skin of genitals",Do you have cracked skin on your {genitals}[Genitals refer to the penis]?||Do you have cracked skin on your {genitals}[Genitals refer to the vagina]?,both,True,True,248,symptom
2,346,Fissured skin at lower extremity,Cracks on leg skin,"chapped skin at leg, cracked skin at leg, fissured skin at leg, Fissured skin at lower limb, Grooved skin in the lower extremity, Split skin on the lower limb, Furrowed skin in the lower limb, Cleft skin on the lower limb",Do you have cracked skin anywhere on your legs?,both,True,True,741,symptom
2,509,Fissured skin between the toes or on the soles of feet,Cracked skin between toes or bottom of feet,"chipped skin between toes, cracked skin between toes, fissured skin between toes, chipped skin at the bottom of feet, cracked skin at the bottom of feet, fissured skin at the bottom of feet, cracks at the bottom of feet, cracked heels, heels with fissures",Is your skin cracked between your toes or on the soles of your feet?,both,True,True,627,symptom
2,503,Fissured skin in upper extremity,Cracked skin on arms,"Fissured skin at hands, chapped skin at arm, cracked skin at arm, fissured skin at arm, Fissured skin at upper limb, Grooved skin in the upper extremity, Split skin on the upper limb, Furrowed skin in the upper limb, Cleft skin on the upper limb",Is your skin cracked anywhere on your arms?,both,True,True,632,symptom
2,905,Fissured tongue,Cracked tongue,"lingua plicata, Cracked tongue, Grooved tongue, Furrowed tongue, Scrotal tongue",Do you have multiple grooves or cracks at the top surface of your tongue?,both,True,True,392,symptom
2,269,Flatulence,Frequent farting,"Frequent farting, passing gas a lot, farting a lot,  too much gas, excessive gas, excessive fart, excessive Intestinal gas, passing wind a lot",Have you been passing gas more than normal?,both,True,True,796,symptom
1,672,Foamy urine,Urine with bubbles unrelated to speed of urination or bladder fullness,"urine with bubbles, Frothy urine, Sudsy urine, Fizzy urine, Effervescent urine",Does your urine look {foamy}[Foamy indicates containing bubbles] regardless of how full your bladder or your speed of urinating is?,both,True,True,398,symptom
2,126,Food impaction,Food stuck in throat,"Food stuck in throat, food stay in throat, food stuck in esophagus, can't move food from throat, Food obstruction, Food blockage, Food lodgment, Impacted food, Esophageal blockage
",Does the food that you eat get stuck in your throat?,both,True,True,878,symptom
2,154,Foreign body sensation in the eye,Feeling something in the eye,"Feeling something in the eye, grain in eye, gritty feeling in eye, scratch in eye, irritation in eye, foreign object in the eye, something is rubbing against eyes, scratching sensation when blinking",Do you feel that there is something in your eye(s) that may cause a scratching sensation when you blink?,both,True,True,860,symptom
2,469,Frequent burping after meals,,"frequent eructation after meals, burping more than normal after meals, frequent belching after eating, too much burping after eating, too much belching after eating, excessive burping after eating",Have you recently been burping more than usual after meals?,both,True,True,633,symptom
2,270,Fruity breath odor,Fruity breath smell,"Fruity breath smell, ketotic breath, acetone breath odor, nail polish breath, breath smells like acetone",Have you been having a {fruity-smelling breath}[Fruity-smelling breath smells sweet and fruity like apples or has hints of nail polish smell]?,both,True,True,795,symptom
2,446,Galactorrhea,Breast leaking milk,"breast leaking milk without breastfeeding, lactating without breastfeeding, milky nipple discharge, milk from boobs without nursing, Abnormal breast milk production","Are your breast(s) leaking milk?||Are your breast(s) leaking milk, given that you did not recently give birth?",both,True,True,669,symptom
1,850,Genital ulcer,Genital sore,"genital sore, ulcer at penis, sore at penis, sore at anus, ulcer at anus, sore at vulva, ulcer at vulva, sore at vagina, ulcer at vagina, open wounds at genitals, open wounds at penis, open wounds at vagina","Do you suffer from {ulcers}[Ulcers refer to open wounds] or sores in your {genitals}[Genitals refer to your penis or anus]?||Do you suffer from {ulcers}[Ulcers refer to open wounds] or sores in your {genitals}[Genitals refer to your vulva, vagina, or anus]?",both,True,True,32,symptom
1,886,Gingival erythema,Gum redness,"Gum redness, tissue around the teeth is red, gingival redness, gingivitis",Does your gum look intensely red?,both,True,True,414,symptom
2,29,Gingival hemorrhage,Bleeding gums,"frequent bleeding gingiva, frequent gum bleeding, Hemorrhaging gums, ",Have you been bleeding from your gums?,both,True,True,221,symptom
2,881,Gingival swelling,Gum swelling,"Gum swelling, bulge in gums, irritated gums, gingival enlargement, gum enlargement, Gum inflammation, Puffy gums, Gum edema, bumpy gum, bumpy gingival",Is your gum {swollen}[Swelling can refer to a bulge or a bump]?,both,True,True,419,symptom
2,480,Globus,Object stuck in throat,"feeling that something stuck in throat,  feeling that Object stuck in throat, a persistent sense that something is lodged in the throat, feelings of an object caught in the throat, feeling of something didn't go all the way down in the throat, sensation that an object is trapped in the throat, sensation of having a lump in the throat, lump sensation in throat",Do you feel like something is stuck in your throat?,both,True,True,400,symptom
1,828,Gradual inability to stand on toes,,"Gradual inability to stand on toes, losing the ability to stand on toes, hard to stand on toes",Have you been gradually finding it harder to stand on your toes?,both,True,True,455,symptom
2,603,Grey turner's or cullen's sign,Bruises around belly button or side of abdomen,"bruises on the side of the abdomen, bruises on the side of the belly, bruises on flanks, blue-purple skin around the belly button, blue-purple skin on the side of abdomen, contusion at belly, bruises around the umbilicus, blue area around the umbilicus ","Do you have any {bruising}[Bruising is when your skin turns blue/purple in color] around your belly button, or on your flank(s)}[Flank would be either side of your abdomen], not due to any injury or trauma?",both,True,True,1,symptom
2,510,Groin pain,,"pain near inner thigh, groin hurts, inguina pain, pain in the junction between thigh and abdomen, Groin discomfort, Groin ache, groin throbbing",Do you currently or often experience pain in your groin?,both,True,True,28,symptom
2,447,Gynecomastia,Enlarged male breasts,"puffy breasts, breast edema, enlarged breast, breasts becoming denser, puffy boobs, boobs swelling, breast bigger in size, Increased breast size, Fullness in the breasts, Breast expansion, Tightness in the breasts, Breast distension, Bulging breasts, breast swelling",Do you have enlarged or {swollen}[Swelling is becoming larger in size] breasts?,male,True,True,107,symptom
2,498,Halitosis,Bad breath,"Bad breath, foul breath, Offensive breath, smelly breath, unattractive odor from mouth, smell from mouth, stinky breath, unpleasant breath odor, Malodor of the mouth",Have you recently been having bad breath?,both,True,True,638,symptom
1,700,Hallucinations when falling asleep or waking up,Unreal imaginations,"dream-like hallucinations, hypnagogic hallucinations, hypnopompic hallucinations, vivid dreamlike experience, unreal imaginations, seeing things that are not there when falling asleep","Do you ever experience vivid, dream-like {hallucinations}[Hallucinations are when you see, feel, or hear things that you know are not there] while falling asleep or waking up?",both,True,True,417,symptom
2,428,Hallux valgus,Large bases of the big toes,"enlarged bone at base of big toe, bunion, painful bony lump on the big toe, prominent bone on big toe, bony bump at the base of big toe, Big toe deviation,
Crooked big toe, Angled toe",Do you have a bony bump at the base of your big toe?,both,True,True,680,symptom
2,278,Halos around lights,,"seeing bright circles around a light source, seeing rings around a light source, seeing circles around light",Do you see bright circles or rings around a light source?,both,True,True,790,symptom
2,599,Head bobbing,Head nodding,"involuntary head nodding, Head rocking, involuntary Head movement Head twitching, unintentional Head oscillation, Head jerking, Head bouncing",Have you noticed your head unusually or involuntarily bobbing or nodding?,both,True,True,575,symptom
2,694,Headache,,"head hurts, head pain, throbbing feeling around forehead, sensation of tightness around forehead, Head discomfort",Do you frequently have headaches?,both,True,True,525,symptom
2,560,Heartburn,Acid reflux,"acid reflux, pyrosis, cardialgia, burning sensation in the middle chest, chest burn, acid regurgitation, gastroesophageal reflux, burning feeling in throat",Have you been getting {heartburns}[Heartburn is a burning feeling in the chest caused by stomach acid travelling up towards the throat (acid reflux)]?,both,True,True,13,symptom
2,155,Heat intolerance,Increased sensitivity to heat,"increased sensitivity to heat, can't bare heat, inability to withstand heat, struggle with heat, inability to bare heat, feeling hot even when the temperature is not high",Do you feel really hot even when the temperature is not that high?,both,True,True,183,symptom
2,315,Heat or redness in ear canal,,"ear canal erythema, heat coming from inside the ear, redness inside the ear, warmth coming from inside the ear",Is there redness in your ear canal or do you feel any heat coming from it?,both,True,True,764,symptom
2,160,Heaviness in lower extremities,Sensation of heavy legs,"Sensation of heavy legs, heaviness in lower limbs, weight feeling in legs, weight feeling in feet",Do your lower legs feel heavy?,both,True,True,856,symptom
2,767,Heaviness in upper extremities,Sensation of heavy arms,"heavy arms, weighted sensation in the arms, discomfort in arms, Weightiness in the upper limbs",Do you feel any kind of heaviness in your arms?,both,True,True,480,symptom
2,783,Heavy scrotum,Feeling weight in testicle sac,"Feeling weight in testicle sac, heavy balls, testicles feel heavy, weight in balls",Do you feel a weight or heaviness in your {scrotum}[Scrotum is the pouch of skin containing the testicles]?,male,True,True,471,symptom
2,460,Heavy sensation or pressure in the groin,Pressure below abdomen,"pressure below abdomen, heaviness below abdomen, heaviness between stomach and thigh, pressure between abdomen and thigh, weight in the groin, weight in the area between abdomen and thigh ","Do you currently or sometimes have a heavy, full sensation or pressure in your groin?",both,True,True,661,symptom
2,39,Heel pain,,"bottom of foot hurts from back side, heel hurts, Heel discomfort, Achy heels",Does your heel hurt?,both,True,True,935,symptom
2,305,Hematospermia,Blood in semen,"Blood in semen, hemospermia, blood with sperms, Bloody ejaculate, red colored semen, red colored ejaculation, pink colored semen, pink colored ejaculation, Red-tinged semen, Hemorrhagic semen, Blood-tinged seminal fluid",Is there blood in your {seminal fluid}[Seminal fluid is a white fluid that is released from the penis during ejaculation]?,male,True,True,148,symptom
2,238,Hematuria,Blood in urine,"Blood in urine, pink colored urine, red colored urine, tea-colored urine, pee with blood, bloody pee, piss with blood, brownish-red pee, brownish-red urine, brownish-red piss","Did you notice blood in your pee that is pink, red, or brownish-red?",both,True,True,156,symptom
2,515,Hirsutism,Excessive growth of dark or coarse hair,"Excessive growth of dark hair, Excessive growth of coarse hair, excessive body hair, too much hair growth, too much hair at face, extra hair growth, too much dark hair, male pattern of hair growth",Do you have a lot of body hair growth in areas that don't usually have them?,female,True,True,310,symptom
2,91,Hoarseness,Strained voice,"husky voice, harsh voice, raspy voice, strained voice, breathy voice, voice is softer in volume, voice is lower in pitch, inability to make smooth sounds, weak and scratchy voice","Have you noticed any {hoarseness}[Hoarseness is a condition marked by changes in the pitch or quality of the voice, which may sound weak, scratchy or husky] in your voice?",both,True,True,898,symptom
1,940,Honey colored crusts,Yellowish scabs,"yellowish scabs around the mouth, dry yellow crust around nose, yellowish scabs on nose, yellowish scabs on ears, yellowish scabs on arms, yellowish scabs on legs, moist yellow crusts around the mouth, yellowish crust skin on arms, yellowish crust skin on legs, yellowish crust skin around the mouth, dry yellow crust around ears",Have you had blisters that turned into honey-colored crusts?,both,True,True,-1,symptom
2,74,Hot flashes,Sudden hot sensation,"Heat waves. Sudden heat sensations, Thermal surges, Episodes of intense heat, sudden heat in chest, sudden heat in face, sudden flushed skin, sudden feeling of warmth, feeling of intense warmth, sensation of being under a sun bed, feeling like a furnace, night sweats","Have you been experiencing any {hot flashes}[Hot flashes are sudden sensations of heat in the chest, face, and head followed by flushing, sweating, and chills]?",both,True,True,909,symptom
1,746,Hot or burning sensation in legs or feet,A burning feeling in legs or feet,"burning sensation in lower limbs, frequent burning sensation in lower extremities, hot legs, frequent burning sensation in feet, burning sensation in legs, hot feet, abnormally warm feet, abnormally warm legs",Do you currently or frequently have a burning sensation in your legs or feet?,both,True,True,72,symptom
2,691,Hot or burning sensation in spine,A burning feeling in spine,"warm spine, burning feeling in spine, Hot sensation in the back, burning sensation in the middle of back, Spinal heat sensation",Do you have a hot or burning sensation in your {spine}[Spine is your backbone or the spinal column]?,both,True,True,429,symptom
2,440,Hot or burning sensation in thigh,A burning feeling in thigh,"warm thigh, thights on fire, burning feeling in the area above the knee, hot feeling in the area above the knee  ",Have you been feeling that your thighs are burning?,both,True,True,674,symptom
2,137,Hot or burning sensation in upper extremity,A burning feeling in arms,"burning sensation in arms, hot feeling in arms, hot sensation in arms, warm feeling in arms, burning sensation in hands, hot feeling in upper limbs, hot  sensation in hands",Do you currently or usually feel a burning sensation in your arms or hands?,both,True,True,186,symptom
2,525,Hot potato voice,Thick voice,"muffled sound, thick sound, muffled voice, thick voice, Hoarse voice, Dysphonic voice, Distorted voice, Altered vocal quality, raspy voice",Has your voice become thick and muffled?,both,True,True,620,symptom
1,895,Hyperelastic skin,Stretchy skin,"rubber skin, elastic skin, Excessively stretchy skin, Abnormally pliable skin, Highly flexible skin",Does your skin stretch more than usual and then return back to normal?,both,True,True,296,symptom
1,848,Hyperglycemia,High blood sugar,"high glucose in the blood, High blood sugar, too much sugar in blood, prediabets, blood sugar above 140 mg/d, blood sugar above 7.8 mmol/L",Do you have a {high blood sugar level}[High blood sugar would be above 140 mg/dL (7.8 mmol/L)]?,both,True,True,235,symptom
2,621,Hyperosmia,Increased sensitivity to smell,"increased smelling ability, heightened sense of smell, increased ability to perceive odors, increased ability to smell, Increased sensitivity to smell, Increased olfactory sensitivity, Enhanced smell perception, Excessive smelling ability, Overactive sense of smell",Have you recently been able to smell odors more often and are bothered by some of them?,both,True,True,564,symptom
2,330,Hyperpigmented skin lesion,Dark patches of skin,"dark areas on the skin, discolored skin patches, dark marks on the skin, Dark patches of skin, dark spots, black patch on skin, brown patch on skin, dark skin discoloration, more melanin on skin, Increased pigmentation on the skin, dark macule, tanned skin lesion",Have you recently noticed any dark patches of skin on your body?,both,True,True,141,symptom
1,655,Hypertensive,High blood pressure,"blood pressure above 140-90 mm Hg, high blood pressure, elevated blood pressure, increased blood pressure, systolic pressure is above 130, and diastolic pressure is more than 80","Is your {blood pressure high}[Elevated blood pressure is when the systolic pressure is above 130, and the diastolic pressure is more than 80]?",both,True,True,382,symptom
2,464,Hypoglycemia,Abnormally low blood sugar,"Abnormally low blood sugar, decreased levels of sugar in blood, blood sugar below 70 mg/dL, Low blood glucose, Sugar deficiency, Glucose deficiency, Insufficient blood sugar, Reduced blood glucose levels, Subnormal blood sugar",Do you have {low blood sugar}[Low blood sugar is blood sugar below 70 mg/dL] levels?,both,True,True,658,symptom
1,1000,Hypomenorrhea,Light period,"light period, very short period, scanty periods, abnormally low monthly bleeding, light menstruation, low blood with period, menstruation less than normal, extremely light menstrual blood flow, period lasts less than 2 days",Are your periods very light or {very short}[A Very short period lasts less than 2 days]?,female,True,True,280,symptom
2,348,Hypopigmented skin lesion,Light spots of skin,"depigmentation of skin, lighter patches of skin, white patch on skin, light skin discoloration, less melanin on skin, pale patches on skin, hypopigmented plaque, hypopigmented macule, light macule, pale macule, pale skin lesion",Have you recently noticed any lighter patches of skin on your body?,both,True,True,739,symptom
2,373,Hyposmia or anosmia,Reduced ability or completely losing sense of smell,"reduced ability to smell, losing sense of smell, cannot smell, decreased ability to detect odors, decreased sensitivity to smell, smell hyposensitivity, decreased ability to perceive odors, decreased ability to smell, smelling difficulty",Do you find it difficult to smell?,both,True,True,128,symptom
1,814,Hypotensive,Low blood pressure,"blood pressure below 90-70 mm Hg, abnormally low blood pressure, decreased blood pressure",Do you have {low blood pressure}[Low blood pressure is a reading of less than 90/60mmHg]?,both,True,True,458,symptom
1,1030,Hypotonia in a child,Floppy baby or baby with a decreased muscle tone,"baby with an abnormally low level of muscle tone, floppy baby, floppy child, baby with a poor muscle resistance, baby with low muscle tone, baby with a decreased muscle tone, baby with relaxed muscles",Does your child's muscles always seem relaxed and floppy?,both,True,True,361,symptom
1,748,Impotence,Erectile dysfunction,"erectile dysfunction, sexual weakness, penis can't erect, penis not firm enough for penetration, inability to obtain an erection, inability to sustain an erection, penis isn't getting hard during sex",Are you unable to maintain an {erection}[Erection is a hardening of the penis]?,male,True,True,490,symptom
2,547,Inability to do hand supination or pronation,Inability to rotate hand to have palm face upwards or downwards,"inability to rotate hand, cannot have palm face upwards, cannot have palm face downwards, Restricted hand rotation, Limited hand turning, Hand rotation impairment, Inability to twist hand, Hand supination/pronation difficulty,  ",Are you unable to rotate your hand to have it face upwards or downwards?,both,True,True,578,symptom
2,785,Infertility,Inability to conceive a child,"sterility, inability to have kids, inability to get pregnant, inability to create offspring, inability to create children, inability to conceive, Reproductive incapacity, Subfertility, Impaired fertility",Do you have any {problems with fertility}[Problems with fertility is the inability to impregnate the female partner despite trying for at least one year]?||Do you have any {problems with fertility}[Problems with fertility is the inability to get pregnant despite trying for at least one year]?,both,True,True,470,symptom
2,520,Insomnia,Lack of sleep,"sleeplessness, trouble falling asleep, trouble staying asleep, Lack of sleep, difficulty sleeping, disturbed sleep, staying awake, hard to fall asleep, hard to stay asleep",Do you have trouble falling asleep or staying asleep?,both,True,True,26,"etiology, symptom"
1,861,Irregular menstruation,Irregular periods,"Irregular periods, uneven interval between periods, period duration varies, period varies in length, menstrual cycle keeps changing, period keeps changing",Are your periods {irregular}[Irregular periods mean that your menstrual cycle is longer than 35 days or varies in length]?,female,True,True,-1,symptom
2,342,Irritability,Feeling agitated,"feeling fidgety, easily getting restless, Easily provoked, Quick-tempered, Short-fused, Prone to annoyance, Easily agitated, Easily irritated, Highly sensitive, Quick to anger, Easily upset, easily annoyed, short temper, fussiness, getting impatient easily, feeling aggravated quickly, ",Do you find yourself getting annoyed or impatient easily?,both,True,True,137,symptom
2,382,Irritable child,Child is constantly crying,"child keeps crying, baby keeps crying, fussy baby, fussy child, baby cry excessively, child is constantly crying, child always crying for no reason",Is your child always crying for no reason?,both,True,True,717,symptom
2,462,Itchy eyes,Eyes irritation,"eye irritation, eyelid irritation, desire to rub eyes, increased need to rub eyes, scratchy eyes, itchy eyelids, Pruritus of the eyes",Does either of your eyes or eyelids feel itchy?,both,True,True,660,symptom
1,818,Janeway lesions,Painless red spots on the soles of feet or palms of hands,"Red macules, Flat red spots, Non-tender red skin lesions, Vascular lesions, red patches on the skin, Painless red spots on the soles of feet, Painless red spots on the palms of hands, flat painless lesions on the bottom of foot, flat painless lesions on the palms, red lesions on soles, non-tender lesions on the palms, painless red lesions on hands, small erythematous macular lesions, small erythematous papular lesions, small erythematous nodular lesions, small hemorrhagic macular lesions, small haemorrhagic papular lesions, small haemorrhagic nodular lesions, red flat spots on the underside of feet","Do you have painless, red, flat spots on the underside of your feet  <b>OR</b> on the palms of your hands?",both,True,True,243,symptom
2,388,Jaundice,Yellow eyes or skin,"yellow skin, yellow eyes,  icterus, yellow-orange skin, yellow sclera",Is your skin or are the whites of your eyes yellow in color?,both,True,True,711,symptom
1,697,Jaw claudication,Jaw pain,"face pain while chewing meals, jaw pain while chewing meals, jaw discomfort while chewing meals, jaw pain while eating, jaw discomfort while chewing food",Do you experience pain or discomfort in the jaw or face while chewing food?,both,True,True,522,symptom
1,1087,Joint stiffness,,"shoulder stiffness, hip stiffness, knee stiffness, ankle stiffness, toes stiffness, elbow stiffness, wrist stiffness, limited movement of shoulder, limited movement of hip, limited movement of knee, limited movement of ankle, limited movement of toes, limited movement of elbow","Do you have stiffness in any of your {joints}[the areas where two or more bones meet - shoulder(s), elbow(s), knee(s), wrist(s), hip(s), finger(s), etc.]?",both,True,True,418,symptom
1,1090,Joint swelling,Enlarged joint,"enlarged joint, shoulder swelling, enlarged shoulder joint, hip swelling, knee swelling, ankle swelling, toes swelling, thumb swelling, elbow swelling, wrist swelling, finger joint enlargement","Do you have swelling in any of your {joints}[the areas where two or more bones meet - shoulder(s), elbow(s), knee(s), wrist(s), hip(s), finger(s), etc.]?",both,True,True,259,symptom
1,1088,Joint tenderness,Joint is sore to touch,"pain when applying pressure to joint, pain at the joint when touched, ankle is sore, ankle hurts when touched, sensitive ankle, aching ankle on applying pressure, pain when applying pressure to base of the thumb, pain when applying pressure to shoulder, pain when applying pressure to elbow, pain when applying pressure to knee, pain when applying pressure to wrist, pain when applying pressure to fingers, pain when applying pressure to hip, pain when applying pressure to toes, Joint is sore to touch","Does it hurt when you apply pressure to any of your {joints}[the areas where two or more bones meet - shoulder(s), elbow(s), knee(s), wrist(s), hip(s), finger(s), etc.]?",both,True,True,426,symptom
2,494,Jugular Vein Distention,Swollen neck vein,"jugular vein distended, swollen neck vein, bloated neck vein, swollen jugular vein, bloated jugular vein",Is your {jugular vein}[Jugular vein refers to your neck vein] distended or swollen?,both,True,True,45,symptom
1,896,Koebner phenomenon,Development of skin lesions in sites of skin trauma,"Development of skin lesions in sites of skin trauma, Isomorphic response, Koebnerization, Koebner reaction, Trauma-induced skin lesions, Provoked skin manifestations, new skin lesion appeared secondary to trauma, new skin lesion due to trauma, new skin lesion due to skin cuts, new skin lesions due to burns, new skin lesions due to scratching, development of a skin flare up in site of a skin trauma, new skin plaque in site of injection, new skin plaque in site of tattoo,","Have you had a flare-up on a recent skin injury like a cut, a tattoo, a burn, or an injection?",both,True,True,-1,symptom
2,804,Koilonychia,Spoon shaped nails,"dent in nails, Spoon shaped nails, nails bent outwards, flat nails, concaved nails, nails without convexity, scooped nails",Are your nails unusually flat or even {concave}[Concave means shaped like a spoon head] in shape?,both,True,True,383,symptom
2,516,Lachrymation,Flow of tears,"secretion of tears, falling tears, shedding tears involuntary, unusual flow of tears, involuntary weeping, involuntary crying, lacrimation, watery eyes",Have your eyes recently begun shedding tears involuntarily without any cause?,both,True,True,360,symptom
1,999,Late menarche,Late first period,"Late first period, late first menstruation, first mense that comes late, getting the first period late, first period after the age of 15",Did you get your first period after the age of 15?,female,True,True,281,symptom
2,894,Laxity of the ligaments/joints,Flexible ligaments,"loose ligaments, joint hypermobility, loose joints, flexible joints, wide range of motion, joints moving beyond normal, joint flexibility",Do you have {hypermobile joints}[Hypermobile joints are loose joints that can move and bend beyond what joints normally can]?,both,True,True,407,symptom
2,53,Lose balance,Feeling unsteady,"feeling of faintness, lightheadedness, dizziness after moving head, feeling unsteady, feeling dizzy, imbalance",Have you been feeling unsteady or losing your balance?,both,True,True,926,symptom
1,784,Lower leg pain,Pain in lower leg,"lower extremity pain, pain in lower limb, pain above the ankle, it hurts at the lower leg, lower extremity ache, Pain below the knee and above the ankle",Have you been having pain in the area below your knee and above your ankle?,both,True,True,64,symptom
1,857,Lower leg swelling,Swelling in lower leg,"enlargement in the lower leg, bulge at the lower leg, larger legs between knee and ankle, puffy lower leg, lower leg becoming denser, Swelling in the area below the knee and above the ankle",Do you have swelling in your {lower leg}[Lower leg is the area below your knee and above your ankle]?,both,True,True,4,symptom
2,335,Lymphadenopathy,Enlarged or swollen lymph nodes,"Enlarged lymph nodes, lymph nodes swelling, bump under skin of groin, bump under skin of neck, bump under skin of armpit, lymph nodes with abnormal size, lymph nodes with increased size, big lymph nodes, sore lymph nodes, hardening of lymph nodes","Do you have any enlargement, swelling or hardening of your {lymph nodes}[Lymph nodes are small structures under the skin that work as filters for harmful substances]?",both,True,True,140,symptom
1,717,Macroglossia,Enlarged tongue without inflammation or swelling,"Enlarged tongue without inflammation or swelling, big tongue, denser tongue, Oversized tongue, Bulky tongue",Is your tongue enlarged not due to inflammation or swelling?,both,True,True,513,symptom
1,843,Madarosis,Eyelashes hair loss,"Eyelashes hair loss, eyelash hair falling, eyelashes are falling out",Have your eyelashes been unusually falling off?,both,True,True,441,symptom
2,144,Mass at lower extremities,"Mass at the hip, thighs, legs or feet","lump at lower extremities, lump at lower limbs, lump at hip, lump at thighs, lump at legs, lump at feet, mass at hip, mass at thighs, mass at legs, mass at feet","Do you feel a lump in your {lower extremities}[Lower extremities include your hip, thighs, legs, or feet]?",both,True,True,868,symptom
1,757,Mass at upper extremities,"Mass at shoulders, arms or hands","Mass at upper limbs, lump at upper limbs, lump at arms, lump at hands, mass at hand, mass at arms, mass at shoulders, lump at shoulders","Do you feel a lump in your {upper extremities}[Upper extremities refer to your shoulder, arms or hands]?",both,True,True,488,symptom
1,707,Mass or swelling at the neck,,"neck lump, Goitre, neck enlargement, Bulge in the neck","Do you have a mass, enlargement, or swelling at the front of your neck?",both,True,True,517,symptom
2,854,Mass over lacrimal sac area,Bump near the inside corner of the eye,"Bump near the inside corner of the eye, Lump near lacrimal sac, Swelling over lacrimal sac, Growth around the lacrimal sac, Mass in the lacrimal sac area, swelling or mass between the eye and nose, lump between eye and nose, mass over medial canthal area, bump in inner corner of eyes, bump near tear duct",Is there a bump near the inside corner of your eye?,both,True,True,445,symptom
1,751,Meconium ileus,Failure to pass first poop,"Failure to pass first poop, failure to pass stool while neonate, thick stool that does not go out at birth, bowel obstruction in newborns, stool was blocking small intestine at birth ",Do you have a history of failure to pass poop once you were born?,both,True,True,438,symptom
2,565,Melena,Black stool,"black feces, dark stool, dark feces, dark poop, black poop, tarry stool, black stool",Is the color of your poop black?,both,True,True,597,"etiology, symptom"
2,266,Menorrhagia,Excessive or prolonged bleeding during period,"Abnormally heavy menstrual period, excessive menstruation, menstrual bleeding longer than 7 days, period with heavy blood, changing pad nearly every hour in period, changing tampon nearly every hour in period, Prolonged menstrual flow, excessive menstrual discharge, Excessive blood loss during menstruation, excessive blood flow in period","Have you noticed abnormally {heavy or prolonged bleeding}[Heavy or prolonged bleeding is when you have bleeding that lasts longer than 7 days per period, or is so heavy that you have to change your pad or tampon nearly every hour] during your period?",female,True,True,-1,"etiology, symptom"
2,268,Metamorphopsia,Perceived distortion of visual space,"Perceived distortion of visual space, mis-representation of an object’s size or shape, straight lines appear to be wavy, straight lines appear curved, Misshapen perception of straight lines, Altered visual appearance of shapes, Object distortion, Perceptual deformity of objects, Visual misperception of objects, Distorted view of straight lines",Do you see straight lines and edges as wavy and distorted?,both,True,True,797,symptom
