label,desc
9512,"Low vision right eye category 2, blindness left eye"
9513,"Low vision right eye category 2, blindness left eye category 3"
9514,"Low vision right eye category 2, blindness left eye category 4"
9515,"Low vision right eye category 2, blindness left eye category 5"
9516,"Low vision, both eyes"
9516,Visual impairment categories 1 or 2 in both eyes.
9517,"Unqualified visual loss, both eyes"
9517,Visual impairment category 9 in both eyes.
9518,"Blindness, one eye"
9518,"Visual impairment categories 3, 4, 5 in one eye [normal vision in other eye]"
9519,"Blindness, one eye, unspecified eye"
9520,"Blindness, right eye, normal vision left eye"
9521,"Blindness, right eye, category 3"
9522,"Blindness, right eye, category 4"
9523,"Blindness, right eye, category 5"
9524,"Blindness, left eye, normal vision right eye"
9525,"Low vision, one eye"
9525,Visual impairment categories 1 or 2 in one eye [normal vision in other eye].
9526,"Low vision, one eye, unspecified eye"
9527,"Low vision, right eye, normal vision left eye"
9528,"Low vision, right eye, category 1"
9529,"Low vision, right eye, category 2"
9530,"Low vision, left eye, normal vision right eye"
9531,"Unqualified visual loss, one eye"
9531,Visual impairment category 9 in one eye [normal vision in other eye].
9532,"Unqualified visual loss, one eye, unspecified"
9533,"Unqualified visual loss, right eye, normal vision left eye"
9534,"Unqualified visual loss, left eye, normal vision right eye"
9535,Unspecified visual loss
9535,Visual impairment category 9 NOS
9536,"Legal blindness, as defined in USA"
9536,Blindness NOS according to USA definition
9537,Nystagmus and other irregular eye movements
9538,Nystagmus
9539,Unspecified nystagmus
9540,Congenital nystagmus
9541,Latent nystagmus
9542,Visual deprivation nystagmus
9543,Dissociated nystagmus
9544,Other forms of nystagmus
9545,Other irregular eye movements
9546,Deficient saccadic eye movements
9547,Deficient smooth pursuit eye movements
9548,Other irregular eye movements
9549,Other disorders of eye and adnexa
9550,Anomalies of pupillary function
9551,Unspecified anomaly of pupillary function
9552,"Argyll Robertson pupil, atypical"
9553,Anisocoria
9554,Miosis
9555,Mydriasis
9556,Tonic pupil
9557,"Tonic pupil, right eye"
9558,"Tonic pupil, left eye"
9559,"Tonic pupil, bilateral"
9560,"Tonic pupil, unspecified eye"
9561,Other anomalies of pupillary function
9562,Ocular pain
9563,"Ocular pain, unspecified eye"
9564,"Ocular pain, right eye"
9565,"Ocular pain, left eye"
9566,"Ocular pain, bilateral"
9567,Other specified disorders of eye and adnexa
9568,Brow ptosis
9569,"Brow ptosis, right"
9570,"Brow ptosis, left"
9571,"Brow ptosis, bilateral"
9572,"Brow ptosis, unspecified"
9573,Other specified disorders of eye and adnexa
9574,Foreign body sensation eye (ocular)
9575,"Foreign body sensation, right eye"
9576,"Foreign body sensation, left eye"
9577,"Foreign body sensation, bilateral eyes"
9578,"Foreign body sensation, unspecified eye"
9579,Unspecified disorder of eye and adnexa
9580,Otitis externa
9581,Abscess of external ear
9581,Boil of external ear
9581,Carbuncle of auricle or external auditory canal
9581,Furuncle of external ear
9582,"Abscess of external ear, unspecified ear"
9583,Abscess of right external ear
9584,Abscess of left external ear
9585,"Abscess of external ear, bilateral"
9586,Cellulitis of external ear
9586,Cellulitis of auricle
9586,Cellulitis of external auditory canal
9587,"Cellulitis of external ear, unspecified ear"
9588,Cellulitis of right external ear
9589,Cellulitis of left external ear
9590,"Cellulitis of external ear, bilateral"
9591,Malignant otitis externa
9592,"Malignant otitis externa, unspecified ear"
9593,"Malignant otitis externa, right ear"
9594,"Malignant otitis externa, left ear"
9595,"Malignant otitis externa, bilateral"
9596,Other infective otitis externa
9597,Diffuse otitis externa
9598,"Diffuse otitis externa, right ear"
9599,"Diffuse otitis externa, left ear"
9600,"Diffuse otitis externa, bilateral"
9601,"Diffuse otitis externa, unspecified ear"
9602,Hemorrhagic otitis externa
9603,"Hemorrhagic otitis externa, right ear"
9604,"Hemorrhagic otitis externa, left ear"
9605,"Hemorrhagic otitis externa, bilateral"
9606,"Hemorrhagic otitis externa, unspecified ear"
9607,Swimmer's ear
9608,"Swimmer's ear, right ear"
9609,"Swimmer's ear, left ear"
9610,"Swimmer's ear, bilateral"
9611,"Swimmer's ear, unspecified ear"
9612,Other infective otitis externa
9613,"Other infective otitis externa, right ear"
9614,"Other infective otitis externa, left ear"
9615,"Other infective otitis externa, bilateral"
9616,"Other infective otitis externa, unspecified ear"
9617,Cholesteatoma of external ear
9617,Keratosis obturans of external ear (canal)
9618,"Cholesteatoma of external ear, unspecified ear"
9619,Cholesteatoma of right external ear
9620,Cholesteatoma of left external ear
9621,"Cholesteatoma of external ear, bilateral"
9622,Acute noninfective otitis externa
9623,Unspecified acute noninfective otitis externa
9623,Acute otitis externa NOS
9624,"Unspecified acute noninfective otitis externa, right ear"
9625,"Unspecified acute noninfective otitis externa, left ear"
9626,"Unspecified acute noninfective otitis externa, bilateral"
9627,"Unspecified acute noninfective otitis externa, unspecified ear"
9628,Acute actinic otitis externa
9629,"Acute actinic otitis externa, right ear"
9630,"Acute actinic otitis externa, left ear"
9631,"Acute actinic otitis externa, bilateral"
9632,"Acute actinic otitis externa, unspecified ear"
9633,Acute chemical otitis externa
9634,"Acute chemical otitis externa, right ear"
9635,"Acute chemical otitis externa, left ear"
9636,"Acute chemical otitis externa, bilateral"
9637,"Acute chemical otitis externa, unspecified ear"
9638,Acute contact otitis externa
9639,"Acute contact otitis externa, right ear"
9640,"Acute contact otitis externa, left ear"
9641,"Acute contact otitis externa, bilateral"
9642,"Acute contact otitis externa, unspecified ear"
9643,Acute eczematoid otitis externa
9644,"Acute eczematoid otitis externa, right ear"
9645,"Acute eczematoid otitis externa, left ear"
9646,"Acute eczematoid otitis externa, bilateral"
9647,"Acute eczematoid otitis externa, unspecified ear"
9648,Acute reactive otitis externa
9649,"Acute reactive otitis externa, right ear"
9650,"Acute reactive otitis externa, left ear"
9651,"Acute reactive otitis externa, bilateral"
9652,"Acute reactive otitis externa, unspecified ear"
9653,Other noninfective acute otitis externa
9654,"Other noninfective acute otitis externa, right ear"
9655,"Other noninfective acute otitis externa, left ear"
9656,"Other noninfective acute otitis externa, bilateral"
9657,"Other noninfective acute otitis externa, unspecified ear"
9658,Unspecified chronic otitis externa
9659,"Unspecified chronic otitis externa, unspecified ear"
9660,"Unspecified chronic otitis externa, right ear"
9661,"Unspecified chronic otitis externa, left ear"
9662,"Unspecified chronic otitis externa, bilateral"
9663,Other otitis externa
9664,Unspecified otitis externa
9665,"Unspecified otitis externa, unspecified ear"
9666,"Unspecified otitis externa, right ear"
9667,"Unspecified otitis externa, left ear"
9668,"Unspecified otitis externa, bilateral"
9669,Other disorders of external ear
9670,Chondritis and perichondritis of external ear
9670,Chondrodermatitis nodularis chronica helicis
9670,Perichondritis of auricle
9670,Perichondritis of pinna
9671,Unspecified perichondritis of external ear
9672,Unspecified perichondritis of right external ear
9673,Unspecified perichondritis of left external ear
9674,"Unspecified perichondritis of external ear, bilateral"
9675,"Unspecified perichondritis of external ear, unspecified ear"
9676,Acute perichondritis of external ear
9677,Acute perichondritis of right external ear
9678,Acute perichondritis of left external ear
9679,"Acute perichondritis of external ear, bilateral"
9680,"Acute perichondritis of external ear, unspecified ear"
9681,Chronic perichondritis of external ear
9682,Chronic perichondritis of right external ear
9683,Chronic perichondritis of left external ear
9684,"Chronic perichondritis of external ear, bilateral"
9685,"Chronic perichondritis of external ear, unspecified ear"
9686,Chondritis of external ear
9686,Chondritis of auricle
9686,Chondritis of pinna
9687,Chondritis of right external ear
9688,Chondritis of left external ear
9689,"Chondritis of external ear, bilateral"
9690,"Chondritis of external ear, unspecified ear"
9691,Noninfective disorders of pinna
9692,Unspecified noninfective disorders of pinna
9692,Disorder of pinna NOS
9693,"Unspecified noninfective disorders of pinna, right ear"
9694,"Unspecified noninfective disorders of pinna, left ear"
9695,"Unspecified noninfective disorders of pinna, bilateral"
9696,"Unspecified noninfective disorders of pinna, unspecified ear"
9697,Acquired deformity of pinna
9697,Acquired deformity of auricle
9698,"Acquired deformity of pinna, right ear"
9699,"Acquired deformity of pinna, left ear"
9700,"Acquired deformity of pinna, bilateral"
9701,"Acquired deformity of pinna, unspecified ear"
9702,Hematoma of pinna
9702,Hematoma of auricle
9703,"Hematoma of pinna, right ear"
9704,"Hematoma of pinna, left ear"
9705,"Hematoma of pinna, bilateral"
9706,"Hematoma of pinna, unspecified ear"
9707,Other noninfective disorders of pinna
9708,"Noninfective disorders of pinna, right ear"
9709,"Noninfective disorders of pinna, left ear"
9710,"Noninfective disorders of pinna, bilateral"
9711,"Noninfective disorders of pinna, unspecified ear"
9712,Impacted cerumen
9712,Wax in ear
9713,"Impacted cerumen, unspecified ear"
9714,"Impacted cerumen, right ear"
9715,"Impacted cerumen, left ear"
9716,"Impacted cerumen, bilateral"
9717,Acquired stenosis of external ear canal
9717,Collapse of external ear canal
9718,"Acquired stenosis of external ear canal, unspecified"
9719,"Acquired stenosis of right external ear canal, unspecified"
9720,"Acquired stenosis of left external ear canal, unspecified"
9721,"Acquired stenosis of external ear canal, unspecified, bilateral"
9722,"Acquired stenosis of external ear canal, unspecified, unspecified ear"
9723,Acquired stenosis of external ear canal secondary to trauma
9724,Acquired stenosis of right external ear canal secondary to trauma
9725,Acquired stenosis of left external ear canal secondary to trauma
9726,"Acquired stenosis of external ear canal secondary to trauma, bilateral"
9727,"Acquired stenosis of external ear canal secondary to trauma, unspecified ear"
9728,Acquired stenosis of external ear canal secondary to inflammation and infection
9729,Acquired stenosis of right external ear canal secondary to inflammation and infection
9730,Acquired stenosis of left external ear canal secondary to inflammation and infection
9731,"Acquired stenosis of external ear canal secondary to inflammation and infection, bilateral"
9732,"Acquired stenosis of external ear canal secondary to inflammation and infection, unspecified ear"
9733,Other acquired stenosis of external ear canal
9734,Other acquired stenosis of right external ear canal
9735,Other acquired stenosis of left external ear canal
9736,"Other acquired stenosis of external ear canal, bilateral"
9737,"Other acquired stenosis of external ear canal, unspecified ear"
9738,Other specified disorders of external ear
9739,Exostosis of external canal
9740,Exostosis of right external canal
9741,Exostosis of left external canal
9742,"Exostosis of external canal, bilateral"
9743,"Exostosis of external canal, unspecified ear"
9744,Other specified disorders of external ear
9745,Other specified disorders of right external ear
9746,Other specified disorders of left external ear
9747,"Other specified disorders of external ear, bilateral"
9748,"Other specified disorders of external ear, unspecified ear"
9749,"Disorder of external ear, unspecified"
9750,"Disorder of external ear, unspecified, unspecified ear"
9751,"Disorder of right external ear, unspecified"
9752,"Disorder of left external ear, unspecified"
9753,"Disorder of external ear, unspecified, bilateral"
9754,Disorders of external ear in diseases classified elsewhere
9755,Otitis externa in other diseases classified elsewhere
9756,"Otitis externa in other diseases classified elsewhere, unspecified ear"
9757,"Otitis externa in other diseases classified elsewhere, right ear"
9758,"Otitis externa in other diseases classified elsewhere, left ear"
9759,"Otitis externa in other diseases classified elsewhere, bilateral"
9760,Other disorders of external ear in diseases classified elsewhere
9761,Nonsuppurative otitis media
9762,Acute serous otitis media
9762,Acute and subacute secretory otitis
9763,"Acute serous otitis media, unspecified ear"
9764,"Acute serous otitis media, right ear"
9765,"Acute serous otitis media, left ear"
9766,"Acute serous otitis media, bilateral"
9767,"Acute serous otitis media, recurrent, right ear"
9768,"Acute serous otitis media, recurrent, left ear"
9769,"Acute serous otitis media, recurrent, bilateral"
9770,"Acute serous otitis media, recurrent, unspecified ear"
9771,Other acute nonsuppurative otitis media
9772,Acute and subacute allergic otitis media (mucoid) (sanguinous) (serous)
9773,"Acute and subacute allergic otitis media (mucoid) (sanguinous) (serous), right ear"
9774,"Acute and subacute allergic otitis media (mucoid) (sanguinous) (serous), left ear"
9775,"Acute and subacute allergic otitis media (mucoid) (sanguinous) (serous), bilateral"
9776,"Acute and subacute allergic otitis media (mucoid) (sanguinous) (serous), recurrent, right ear"
9777,"Acute and subacute allergic otitis media (mucoid) (sanguinous) (serous), recurrent, left ear"
9778,"Acute and subacute allergic otitis media (mucoid) (sanguinous) (serous), recurrent, bilateral"
9779,"Acute and subacute allergic otitis media (mucoid) (sanguinous) (serous), recurrent, unspecified ear"
9780,"Acute and subacute allergic otitis media (mucoid) (sanguinous) (serous), unspecified ear"
9781,Other acute nonsuppurative otitis media
9781,Acute and subacute mucoid otitis media
9781,Acute and subacute nonsuppurative otitis media NOS
9781,Acute and subacute sanguinous otitis media
9781,Acute and subacute seromucinous otitis media
9782,"Other acute nonsuppurative otitis media, right ear"
9783,"Other acute nonsuppurative otitis media, left ear"
9784,"Other acute nonsuppurative otitis media, bilateral"
9785,"Other acute nonsuppurative otitis media, recurrent, right ear"
9786,"Other acute nonsuppurative otitis media, recurrent, left ear"
9787,"Other acute nonsuppurative otitis media, recurrent, bilateral"
9788,"Other acute nonsuppurative otitis media recurrent, unspecified ear"
9789,"Other acute nonsuppurative otitis media, unspecified ear"
9790,Chronic serous otitis media
9790,Chronic tubotympanal catarrh
9791,"Chronic serous otitis media, unspecified ear"
9792,"Chronic serous otitis media, right ear"
9793,"Chronic serous otitis media, left ear"
9794,"Chronic serous otitis media, bilateral"
9795,Chronic mucoid otitis media
9795,Chronic mucinous otitis media
9795,Chronic secretory otitis media
9795,Chronic transudative otitis media
9795,Glue ear
9796,"Chronic mucoid otitis media, unspecified ear"
9797,"Chronic mucoid otitis media, right ear"
9798,"Chronic mucoid otitis media, left ear"
9799,"Chronic mucoid otitis media, bilateral"
9800,Other chronic nonsuppurative otitis media
9801,Chronic allergic otitis media
9802,"Chronic allergic otitis media, right ear"
9803,"Chronic allergic otitis media, left ear"
9804,"Chronic allergic otitis media, bilateral"
9805,"Chronic allergic otitis media, unspecified ear"
9806,Other chronic nonsuppurative otitis media
9806,Chronic exudative otitis media
9806,Chronic nonsuppurative otitis media NOS
9806,Chronic otitis media with effusion (nonpurulent)
9806,Chronic seromucinous otitis media
9807,"Other chronic nonsuppurative otitis media, right ear"
9808,"Other chronic nonsuppurative otitis media, left ear"
9809,"Other chronic nonsuppurative otitis media, bilateral"
9810,"Other chronic nonsuppurative otitis media, unspecified ear"
9811,Unspecified nonsuppurative otitis media
9811,Allergic otitis media NOS
9811,Catarrhal otitis media NOS
9811,Exudative otitis media NOS
9811,Mucoid otitis media NOS
9811,Otitis media with effusion (nonpurulent) NOS
9811,Secretory otitis media NOS
9811,Seromucinous otitis media NOS
9811,Serous otitis media NOS
9811,Transudative otitis media NOS
9812,"Unspecified nonsuppurative otitis media, unspecified ear"
9813,"Unspecified nonsuppurative otitis media, right ear"
9814,"Unspecified nonsuppurative otitis media, left ear"
9815,"Unspecified nonsuppurative otitis media, bilateral"
9816,Suppurative and unspecified otitis media
9817,Acute suppurative otitis media
9818,Acute suppurative otitis media without spontaneous rupture of ear drum
9819,"Acute suppurative otitis media without spontaneous rupture of ear drum, right ear"
9820,"Acute suppurative otitis media without spontaneous rupture of ear drum, left ear"
9821,"Acute suppurative otitis media without spontaneous rupture of ear drum, bilateral"
9822,"Acute suppurative otitis media without spontaneous rupture of ear drum, recurrent, right ear"
9823,"Acute suppurative otitis media without spontaneous rupture of ear drum, recurrent, left ear"
9824,"Acute suppurative otitis media without spontaneous rupture of ear drum, recurrent, bilateral"
9825,"Acute suppurative otitis media without spontaneous rupture of ear drum, recurrent, unspecified ear"
9826,"Acute suppurative otitis media without spontaneous rupture of ear drum, unspecified ear"
9827,Acute suppurative otitis media with spontaneous rupture of ear drum
9828,"Acute suppurative otitis media with spontaneous rupture of ear drum, right ear"
9829,"Acute suppurative otitis media with spontaneous rupture of ear drum, left ear"
9830,"Acute suppurative otitis media with spontaneous rupture of ear drum, bilateral"
9831,"Acute suppurative otitis media with spontaneous rupture of ear drum, recurrent, right ear"
9832,"Acute suppurative otitis media with spontaneous rupture of ear drum, recurrent, left ear"
9833,"Acute suppurative otitis media with spontaneous rupture of ear drum, recurrent, bilateral"
9834,"Acute suppurative otitis media with spontaneous rupture of ear drum, recurrent, unspecified ear"
9835,"Acute suppurative otitis media with spontaneous rupture of ear drum, unspecified ear"
9836,Chronic tubotympanic suppurative otitis media
9836,Benign chronic suppurative otitis media
9836,Chronic tubotympanic disease
9837,"Chronic tubotympanic suppurative otitis media, unspecified"
9838,"Chronic tubotympanic suppurative otitis media, right ear"
9839,"Chronic tubotympanic suppurative otitis media, left ear"
9840,"Chronic tubotympanic suppurative otitis media, bilateral"
9841,Chronic atticoantral suppurative otitis media
9841,Chronic atticoantral disease
9842,"Chronic atticoantral suppurative otitis media, unspecified ear"
9843,"Chronic atticoantral suppurative otitis media, right ear"
9844,"Chronic atticoantral suppurative otitis media, left ear"
9845,"Chronic atticoantral suppurative otitis media, bilateral"
9846,Other chronic suppurative otitis media
9846,Chronic suppurative otitis media NOS
9847,"Suppurative otitis media, unspecified"
9847,Purulent otitis media NOS
9848,"Suppurative otitis media, unspecified, unspecified ear"
9849,"Suppurative otitis media, unspecified, right ear"
9850,"Suppurative otitis media, unspecified, left ear"
9851,"Suppurative otitis media, unspecified, bilateral"
9852,"Otitis media, unspecified"
9852,Otitis media NOS
9852,Acute otitis media NOS
9852,Chronic otitis media NOS
9853,"Otitis media, unspecified, unspecified ear"
9854,"Otitis media, unspecified, right ear"
9855,"Otitis media, unspecified, left ear"
9856,"Otitis media, unspecified, bilateral"
9857,Otitis media in diseases classified elsewhere
9858,"Otitis media in diseases classified elsewhere, right ear"
9859,"Otitis media in diseases classified elsewhere, left ear"
9860,"Otitis media in diseases classified elsewhere, bilateral"
9861,"Otitis media in diseases classified elsewhere, unspecified ear"
9862,Eustachian salpingitis and obstruction
9863,Eustachian salpingitis
9864,Unspecified Eustachian salpingitis
9865,"Unspecified Eustachian salpingitis, right ear"
9866,"Unspecified Eustachian salpingitis, left ear"
9867,"Unspecified Eustachian salpingitis, bilateral"
9868,"Unspecified Eustachian salpingitis, unspecified ear"
9869,Acute Eustachian salpingitis
9870,"Acute Eustachian salpingitis, right ear"
9871,"Acute Eustachian salpingitis, left ear"
9872,"Acute Eustachian salpingitis, bilateral"
9873,"Acute Eustachian salpingitis, unspecified ear"
9874,Chronic Eustachian salpingitis
9875,"Chronic Eustachian salpingitis, right ear"
9876,"Chronic Eustachian salpingitis, left ear"
9877,"Chronic Eustachian salpingitis, bilateral"
9878,"Chronic Eustachian salpingitis, unspecified ear"
9879,Obstruction of Eustachian tube
9879,Stenosis of Eustachian tube
9879,Stricture of Eustachian tube
9880,Unspecified obstruction of Eustachian tube
9881,"Unspecified obstruction of Eustachian tube, right ear"
9882,"Unspecified obstruction of Eustachian tube, left ear"
9883,"Unspecified obstruction of Eustachian tube, bilateral"
9884,"Unspecified obstruction of Eustachian tube, unspecified ear"
9885,Osseous obstruction of Eustachian tube
9886,"Osseous obstruction of Eustachian tube, right ear"
9887,"Osseous obstruction of Eustachian tube, left ear"
9888,"Osseous obstruction of Eustachian tube, bilateral"
9889,"Osseous obstruction of Eustachian tube, unspecified ear"
9890,Intrinsic cartilagenous obstruction of Eustachian tube
9891,"Intrinsic cartilagenous obstruction of Eustachian tube, right ear"
9892,"Intrinsic cartilagenous obstruction of Eustachian tube, left ear"
9893,"Intrinsic cartilagenous obstruction of Eustachian tube, bilateral"
9894,"Intrinsic cartilagenous obstruction of Eustachian tube, unspecified ear"
9895,Extrinsic cartilagenous obstruction of Eustachian tube
9895,Compression of Eustachian tube
9896,"Extrinsic cartilagenous obstruction of Eustachian tube, right ear"
9897,"Extrinsic cartilagenous obstruction of Eustachian tube, left ear"
9898,"Extrinsic cartilagenous obstruction of Eustachian tube, bilateral"
9899,"Extrinsic cartilagenous obstruction of Eustachian tube, unspecified ear"
9900,Other and unspecified disorders of Eustachian tube
9901,Patulous Eustachian tube
9902,"Patulous Eustachian tube, unspecified ear"
9903,"Patulous Eustachian tube, right ear"
9904,"Patulous Eustachian tube, left ear"
9905,"Patulous Eustachian tube, bilateral"
9906,Other specified disorders of Eustachian tube
9907,"Other specified disorders of Eustachian tube, unspecified ear"
9908,"Other specified disorders of Eustachian tube, right ear"
9909,"Other specified disorders of Eustachian tube, left ear"
9910,"Other specified disorders of Eustachian tube, bilateral"
9911,Unspecified Eustachian tube disorder
9912,"Unspecified Eustachian tube disorder, unspecified ear"
9913,"Unspecified Eustachian tube disorder, right ear"
9914,"Unspecified Eustachian tube disorder, left ear"
9915,"Unspecified Eustachian tube disorder, bilateral"
9916,Mastoiditis and related conditions
9917,Acute mastoiditis
9917,Abscess of mastoid
9917,Empyema of mastoid
9918,Acute mastoiditis without complications
9919,"Acute mastoiditis without complications, right ear"
9920,"Acute mastoiditis without complications, left ear"
9921,"Acute mastoiditis without complications, bilateral"
9922,"Acute mastoiditis without complications, unspecified ear"
9923,Subperiosteal abscess of mastoid
9924,"Subperiosteal abscess of mastoid, right ear"
9925,"Subperiosteal abscess of mastoid, left ear"
9926,"Subperiosteal abscess of mastoid, bilateral"
9927,"Subperiosteal abscess of mastoid, unspecified ear"
9928,Acute mastoiditis with other complications
9929,"Acute mastoiditis with other complications, right ear"
9930,"Acute mastoiditis with other complications, left ear"
9931,"Acute mastoiditis with other complications, bilateral"
9932,"Acute mastoiditis with other complications, unspecified ear"
9933,Chronic mastoiditis
9933,Caries of mastoid
9933,Fistula of mastoid
9934,"Chronic mastoiditis, unspecified ear"
9935,"Chronic mastoiditis, right ear"
9936,"Chronic mastoiditis, left ear"
9937,"Chronic mastoiditis, bilateral"
9938,Petrositis
9938,Inflammation of petrous bone
9939,Unspecified petrositis
9940,"Unspecified petrositis, right ear"
9941,"Unspecified petrositis, left ear"
9942,"Unspecified petrositis, bilateral"
9943,"Unspecified petrositis, unspecified ear"
9944,Acute petrositis
9945,"Acute petrositis, right ear"
9946,"Acute petrositis, left ear"
9947,"Acute petrositis, bilateral"
9948,"Acute petrositis, unspecified ear"
9949,Chronic petrositis
9950,"Chronic petrositis, right ear"
9951,"Chronic petrositis, left ear"
9952,"Chronic petrositis, bilateral"
9953,"Chronic petrositis, unspecified ear"
9954,Other mastoiditis and related conditions
9955,Postauricular fistula
9956,"Postauricular fistula, right ear"
9957,"Postauricular fistula, left ear"
9958,"Postauricular fistula, bilateral"
9959,"Postauricular fistula, unspecified ear"
9960,Other mastoiditis and related conditions
9961,"Other mastoiditis and related conditions, right ear"
9962,"Other mastoiditis and related conditions, left ear"
9963,"Other mastoiditis and related conditions, bilateral"
9964,"Other mastoiditis and related conditions, unspecified ear"
9965,Unspecified mastoiditis
9966,"Unspecified mastoiditis, unspecified ear"
9967,"Unspecified mastoiditis, right ear"
9968,"Unspecified mastoiditis, left ear"
9969,"Unspecified mastoiditis, bilateral"
9970,Cholesteatoma of middle ear
9971,Cholesteatoma of attic
9972,"Cholesteatoma of attic, unspecified ear"
9973,"Cholesteatoma of attic, right ear"
9974,"Cholesteatoma of attic, left ear"
9975,"Cholesteatoma of attic, bilateral"
9976,Cholesteatoma of tympanum
9977,"Cholesteatoma of tympanum, unspecified ear"
9978,"Cholesteatoma of tympanum, right ear"
9979,"Cholesteatoma of tympanum, left ear"
9980,"Cholesteatoma of tympanum, bilateral"
9981,Cholesteatoma of mastoid
9982,"Cholesteatoma of mastoid, unspecified ear"
9983,"Cholesteatoma of mastoid, right ear"
9984,"Cholesteatoma of mastoid, left ear"
9985,"Cholesteatoma of mastoid, bilateral"
9986,Diffuse cholesteatosis
9987,"Diffuse cholesteatosis, unspecified ear"
9988,"Diffuse cholesteatosis, right ear"
9989,"Diffuse cholesteatosis, left ear"
9990,"Diffuse cholesteatosis, bilateral"
9991,Unspecified cholesteatoma
9992,"Unspecified cholesteatoma, unspecified ear"
9993,"Unspecified cholesteatoma, right ear"
9994,"Unspecified cholesteatoma, left ear"
9995,"Unspecified cholesteatoma, bilateral"
9996,Perforation of tympanic membrane
9997,Central perforation of tympanic membrane
9998,"Central perforation of tympanic membrane, unspecified ear"
9999,"Central perforation of tympanic membrane, right ear"
10000,"Central perforation of tympanic membrane, left ear"
10001,"Central perforation of tympanic membrane, bilateral"
10002,Attic perforation of tympanic membrane
10002,Perforation of pars flaccida
10003,"Attic perforation of tympanic membrane, unspecified ear"
10004,"Attic perforation of tympanic membrane, right ear"
10005,"Attic perforation of tympanic membrane, left ear"
10006,"Attic perforation of tympanic membrane, bilateral"
10007,Other marginal perforations of tympanic membrane
10008,Other perforations of tympanic membrane
10009,Multiple perforations of tympanic membrane
10010,"Multiple perforations of tympanic membrane, right ear"
10011,"Multiple perforations of tympanic membrane, left ear"
10012,"Multiple perforations of tympanic membrane, bilateral"
10013,"Multiple perforations of tympanic membrane, unspecified ear"
10014,Total perforations of tympanic membrane
10015,"Total perforations of tympanic membrane, right ear"
10016,"Total perforations of tympanic membrane, left ear"
10017,"Total perforations of tympanic membrane, bilateral"
10018,"Total perforations of tympanic membrane, unspecified ear"
10019,Unspecified perforation of tympanic membrane
10020,"Unspecified perforation of tympanic membrane, unspecified ear"
10021,"Unspecified perforation of tympanic membrane, right ear"
10022,"Unspecified perforation of tympanic membrane, left ear"
10023,"Unspecified perforation of tympanic membrane, bilateral"
10024,Other disorders of tympanic membrane
10025,Acute myringitis
10026,Unspecified acute myringitis
10026,Acute tympanitis NOS
10027,"Acute myringitis, right ear"
10028,"Acute myringitis, left ear"
10029,"Acute myringitis, bilateral"
10030,"Acute myringitis, unspecified ear"
10031,Bullous myringitis
10032,"Bullous myringitis, right ear"
10033,"Bullous myringitis, left ear"
10034,"Bullous myringitis, bilateral"
10035,"Bullous myringitis, unspecified ear"
10036,Other acute myringitis
10037,"Other acute myringitis, right ear"
10038,"Other acute myringitis, left ear"
10039,"Other acute myringitis, bilateral"
10040,"Other acute myringitis, unspecified ear"
10041,Chronic myringitis
10041,Chronic tympanitis
10042,"Chronic myringitis, unspecified ear"
10043,"Chronic myringitis, right ear"
10044,"Chronic myringitis, left ear"
10045,"Chronic myringitis, bilateral"
10046,Unspecified myringitis
10047,"Unspecified myringitis, unspecified ear"
10048,"Unspecified myringitis, right ear"
10049,"Unspecified myringitis, left ear"
10050,"Unspecified myringitis, bilateral"
10051,Other specified disorders of tympanic membrane
10052,Atrophic flaccid tympanic membrane
10053,"Atrophic flaccid tympanic membrane, right ear"
10054,"Atrophic flaccid tympanic membrane, left ear"
10055,"Atrophic flaccid tympanic membrane, bilateral"
10056,"Atrophic flaccid tympanic membrane, unspecified ear"
10057,Atrophic nonflaccid tympanic membrane
10058,"Atrophic nonflaccid tympanic membrane, right ear"
10059,"Atrophic nonflaccid tympanic membrane, left ear"
10060,"Atrophic nonflaccid tympanic membrane, bilateral"
10061,"Atrophic nonflaccid tympanic membrane, unspecified ear"
10062,Other specified disorders of tympanic membrane
10063,"Other specified disorders of tympanic membrane, right ear"
10064,"Other specified disorders of tympanic membrane, left ear"
10065,"Other specified disorders of tympanic membrane, bilateral"
10066,"Other specified disorders of tympanic membrane, unspecified ear"
10067,Unspecified disorder of tympanic membrane
10068,"Unspecified disorder of tympanic membrane, unspecified ear"
10069,"Unspecified disorder of tympanic membrane, right ear"
10070,"Unspecified disorder of tympanic membrane, left ear"
10071,"Unspecified disorder of tympanic membrane, bilateral"
10072,Other disorders of middle ear mastoid
10073,Tympanosclerosis
10074,"Tympanosclerosis, right ear"
10075,"Tympanosclerosis, left ear"
10076,"Tympanosclerosis, bilateral"
10077,"Tympanosclerosis, unspecified ear"
10078,Adhesive middle ear disease
10078,Adhesive otitis
10079,Adhesive right middle ear disease
10080,Adhesive left middle ear disease
10081,"Adhesive middle ear disease, bilateral"
10082,"Adhesive middle ear disease, unspecified ear"
10083,Discontinuity and dislocation of ear ossicles
10084,"Discontinuity and dislocation of ear ossicles, unspecified ear"
10085,Discontinuity and dislocation of right ear ossicles
10086,Discontinuity and dislocation of left ear ossicles
10087,"Discontinuity and dislocation of ear ossicles, bilateral"
10088,Other acquired abnormalities of ear ossicles
10089,Ankylosis of ear ossicles
10090,"Ankylosis of ear ossicles, right ear"
10091,"Ankylosis of ear ossicles, left ear"
10092,"Ankylosis of ear ossicles, bilateral"
