ICD CODE,DESCRIPTION
K021,caries of dentine
K020,caries limited to enamel
N839,"noninflammatory disorder of ovary, fallopian tube and broad ligament, unspecified"
R07,pain in throat and chest
G4090,"epilepsy, unspecified, without mention of intractable epilepsy"
M2321,derangement of anterior horn of medial meniscus due to old tear or injury
I429,"cardiomyopathy, unspecified"
H359,"retinal disorder, unspecified"
M7918,"myalgia, other site"
H000,hordeolum and other deep inflammation of eyelid
M5397,"unspecified dorsopathy, lumbosacral region"
H729,"perforation of tympanic membrane, unspecified"
Z321,pregnancy confirmed
H527,"disorder of refraction, unspecified"
D690,allergic purpura
M2549,"effusion of joint, site unspecified"
H048,other disorders of lacrimal system
L300,nummular dermatitis
M0697,"rheumatoid arthritis, unspecified, ankle and foot"
E835,disorders of calcium metabolism
M6587,"other synovitis and tenosynovitis, ankle and foot"
L628,nail disorders in other diseases classified elsewhere
L033,cellulitis of trunk
S202,contusion of thorax
K0888,other specified disorders of teeth and supporting structures
O268,other specified pregnancy-related conditions
H920,otalgia
S462,injury of muscle and tendon of other parts of biceps
S46,injury of muscle and tendon at shoulder and upper arm level
S468,injury of other muscles and tendons at shoulder and upper arm level
S600,contusion of finger(s) without damage to nail
M4712,"other spondylosis with myelopathy, cervical region"
K2950,"chronic gastritis, unspecified, without mention of haemorrhage"
M755,bursitis of shoulder
O2688,other specified pregnancy-related conditions
M5412,"radiculopathy, cervical region"
M256,"stiffness of joint, not elsewhere classified"
A084,"viral intestinal infection, unspecified"
S870,crushing injury of knee
S67,crushing injury of wrist and hand
S570,crushing injury of elbow
H523,anisometropia and aniseikonia
L308,other specified dermatitis
Z369,"antenatal screening, unspecified"
Z359,"supervision of high-risk pregnancy, unspecified"
H812,vestibular neuronitis
J010,acute maxillary sinusitis
K054,periodontosis
K068,other specified disorders of gingiva and edentulous alveolar ridge
Z33,"pregnant state, incidental"
E038,other specified hypothyroidism
J189,"pneumonia, unspecified"
K148,other diseases of tongue
M7910,"myalgia, multiple sites"
I2510,"atherosclerotic heart disease, of unspecified vessel"
M6740,"ganglion, multiple sites"
S0121,"open wound of nose, external skin"
H605,"acute otitis externa, noninfective"
E58,dietary calcium deficiency
H813,other peripheral vertigo
M1907,"primary arthrosis of other joints, ankle and foot"
L52,erythema nodosum
S670,crushing injury of thumb and other finger(s)
S699,unspecified injury of wrist and hand
M1098,"gout, unspecified, other site"
N450,"orchitis, epididymitis and epididymo-orchitis with abscess"
M6288,"other specified disorders of muscle, other site"
I848,unspecified haemorrhoids with other complications
K089,"disorder of teeth and supporting structures, unspecified"
B3788,candidiasis of other sites
J129,"viral pneumonia, unspecified"
J111,"influenza with other respiratory manifestations, virus not identified"
K006,disturbances in tooth eruption
K030,excessive attrition of teeth
K121,other forms of stomatitis
J399,"disease of upper respiratory tract, unspecified"
A083,other viral enteritis
G464,cerebellar stroke syndrome (i60-i67+)
K041,necrosis of pulp
K023,arrested dental caries
K022,caries of cementum
G441,"vascular headache, not elsewhere classified"
G453,amaurosis fugax
K055,other periodontal diseases
E1372,other specified diabetes mellitus with features of insulin resistance
H814,vertigo of central origin
S912,open wound of toe(s) with damage to nail
B000,eczema herpeticum
J208,acute bronchitis due to other specified organisms
J028,acute pharyngitis due to other specified organisms
D648,other specified anaemias
S0035,"superficial injury of nose, contusion"
K122,cellulitis and abscess of mouth
J038,acute tonsillitis due to other specified organisms
M1390,"arthritis, unspecified, multiple sites"
M4716,"other spondylosis with myelopathy, lumbar region"
T250,burn of unspecified thickness of ankle and foot
T3100,"burns involving less than 10% of body surface, with less than 10 % or unspecified full thickness burns"
S337,sprain and strain of other and unspecified parts of lumbar spine and pelvis
M6090,"unspecified myositis, multiple sites"
L508,other urticaria
M6389,"other disorders of muscle in diseases classified elsewhere, site unspecified"
M6580,"other synovitis and tenosynovitis, multiple sites"
N509,"disorder of male genital organs, unspecified"
I868,varicose veins of other specified sites
K072,anomalies of dental arch relationship
K031,abrasion of teeth
U049,"severe acute respiratory syndrome [sars], unspecified"
K295,"chronic gastritis, unspecified"
M6269,"muscle strain, site unspecified"
O208,other haemorrhage in early pregnancy
Z298,other specified prophylactic measures
H189,"disorder of cornea, unspecified"
H161,other superficial keratitis without conjunctivitis
H028,other specified disorders of eyelid
B308,other viral conjunctivitis
H100,mucopurulent conjunctivitis
B369,"superficial mycosis, unspecified"
H208,other iridocyclitis
H358,other specified retinal disorders
H618,other specified disorders of external ear
H508,other specified strabismus
H738,other specified disorders of tympanic membrane
K088,other specified disorders of teeth and supporting structures
H699,"eustachian tube disorder, unspecified"
Z464,fitting and adjustment of orthodontic device
Z5188,other specified medical care
B001,herpesviral vesicular dermatitis
B814,mixed intestinal helminthiases
M7954,"residual foreign body in soft tissue, hand"
L303,infective dermatitis
H600,abscess of external ear
M6280,"other specified disorders of muscle, multiple sites"
K824,cholesterolosis of gallbladder
M6590,"unspecified synovitis and tenosynovitis, multiple sites"
L989,"disorder of skin and subcutaneous tissue, unspecified"
H526,other disorders of refraction
T300,"burn of unspecified body region, unspecified thickness"
L728,other follicular cysts of skin and subcutaneous tissue
N398,other specified disorders of urinary system
T159,"foreign body on external eye, part unspecified"
M1090,"gout, unspecified, multiple sites"
M6290,"unspecified disorder of muscle, multiple sites"
B839,"helminthiasis, unspecified"
M1908,"primary arthrosis of other joints, other site"
M701,bursitis of hand
R227,"localised swelling, mass and lump, multiple sites"
M4380,"other specified deforming dorsopathies, multiple sites in spine"
B350,tinea barbae and tinea capitis
L088,other specified local infections of skin and subcutaneous tissue
R196,halitosis
M2558,"pain in a joint, other site"
K056,"periodontal disease, unspecified"
R58,"haemorrhage, not elsewhere classified"
S032,dislocation of tooth
H108,other conjunctivitis
H188,other specified disorders of cornea
G960,cerebrospinal fluid leak
K038,other specified diseases of hard tissues of teeth
O269,"pregnancy-related condition, unspecified"
M768,"other enthesopathies of lower limb, excluding foot"
S9310,"dislocation of toe(s), unspecified"
Z008,other general examinations
S900,contusion of ankle
R098,other specified symptoms and signs involving the circulatory and respiratory systems
M8945,"other hypertrophic osteoarthropathy, pelvic region and thigh"
J382,nodules of vocal cords
J383,other diseases of vocal cords
S203,other superficial injuries of front wall of thorax
Z463,fitting and adjustment of dental prosthetic device
U071,emergency use of u07.1
U071,"covid-19, virus identified"
Z124,special screening examination for neoplasm of cervix
S609,"superficial injury of wrist and hand, unspecified"
K010,embedded teeth
O300,twin pregnancy
O996,"diseases of the digestive system complicating pregnancy, childbirth and the puerperium"
M2335,other derangements of posterior horn of lateral meniscus
J348,other specified disorders of nose and nasal sinuses
T171,foreign body in nostril
B029,zoster without complication
K828,other specified diseases of gallbladder
K818,other cholecystitis
N328,other specified disorders of bladder
B769,"hookworm disease, unspecified"
M4809,"spinal stenosis, site unspecified"
H663,other chronic suppurative otitis media
K119,"disease of salivary gland, unspecified"
S911,open wound of toe(s) without damage to nail
T230,burn of unspecified thickness of wrist and hand
R478,other and unspecified speech disturbances
I129,hypertensive renal disease without renal failure
R000,"tachycardia, unspecified"
M1394,"arthritis, unspecified, hand"
M4195,"unspecified scoliosis, thoracolumbar region"
M4196,"unspecified scoliosis, lumbar region"
Z269,need for immunisation against unspecified infectious disease
N750,cyst of bartholin's gland
M1991,"arthrosis, unspecified, shoulder region"
M770,medial epicondylitis
I456,pre-excitation syndrome
N288,other specified disorders of kidney and ureter
N922,excessive menstruation at puberty
M6595,"unspecified synovitis and tenosynovitis, pelvic region and thigh"
S637,sprain and strain of other and unspecified parts of hand
D169,"benign neoplasm of bone and articular cartilage, unspecified"
M2330,"other meniscus derangements, multiple sites"
T8141,wound infection following a procedure
R944,abnormal results of kidney function studies
M6597,"unspecified synovitis and tenosynovitis, ankle and foot"
I845,external haemorrhoids without complication
O9901,anaemia complicating pregnancy
O471,false labour at or after 37 completed weeks of gestation
Z00,general examination and investigation of persons without complaint or reported diagnosis
D219,"other benign neoplasms of connective and other soft tissue , unspecified"
G569,"mononeuropathy of upper limb, unspecified"
O470,false labour before 37 completed weeks of gestation
O998,"other specified diseases and conditions complicating pregnancy, childbirth and the puerperium"
G500,trigeminal neuralgia
L83,acanthosis nigricans
L650,telogen effluvium
L298,other pruritus
L282,other prurigo
S598,other specified injuries of forearm
M7912,"myalgia, upper arm"
S6088,other superficial injuries of wrist and hand
L021,"cutaneous abscess, furuncle and carbuncle of neck"
S6188,open wound of other parts of wrist and hand
H622,otitis externa in mycoses
O089,"complication following abortion and ectopic and molar pregnancy, unspecified"
R529,"pain, unspecified"
L811,chloasma
E1490,"unspecified diabetes mellitus without complications, not stated as uncontrolled"
L403,pustulosis palmaris et plantaris
R062,wheezing
L859,"epidermal thickening, unspecified"
O368,maternal care for other specified fetal problems
N945,secondary dysmenorrhoea
K000,anodontia
J202,acute bronchitis due to streptococcus
M765,patellar tendinitis
S5348,sprain and strain of other part of elbow
K046,periapical abscess with sinus
N709,"salpingitis and oophoritis, unspecified"
J441,"chronic obstructive pulmonary disease with acute exacerbation, unspecified"
E781,pure hyperglyceridaemia
M1008,"idiopathic gout, other site"
M06,other rheumatoid arthritis
D685,primary thrombophilia
E060,acute thyroiditis
Z350,supervision of pregnancy with history of infertility
L29,pruritus
M712,synovial cyst of popliteal space [baker]
M7158,"other bursitis, not elsewhere classified, other site"
S004,superficial injury of ear
K123,oral mucositis (ulcerative)
S929,"fracture of foot, unspecified"
S0050,"superficial injury of lip and oral cavity, unspecified"
M7928,"neuralgia and neuritis, unspecified, other site"
M7969,"pain in limb, site unspecified"
M5483,"other dorsalgia, cervicothoracic region"
M9426,chondromalacia lower leg
M4727,"other spondylosis with radiculopathy, lumbosacral region"
S8228,other fracture of shaft of tibia
M1097,"gout, unspecified, ankle and foot"
S8218,other fracture of upper end of tibia
S760,injury of muscle and tendon of hip
M503,other cervical disc degeneration
M752,bicipital tendinitis
M6788,"other specified diseases of synovium and tendon, other site"
M7979,"fibromyalgia, site unspecified"
M7979,"fibromyalgia, unspecified"
M1094,"gout, unspecified, hand"
S8221,fracture of shaft of tibia with fracture of fibula (any part)
M4058,"unspecified lordosis, sacral and sacrococcygeal region"
M670,short achilles tendon (acquired)
M2334,other derangements of anterior horn of lateral meniscus
M1903,"primary arthrosis of other joints, forearm"
S6350,"sprain and strain of wrist, part unspecified"
S763,injury of muscle and tendon of the posterior muscle group at thigh level
M228,other disorders of patella
J206,acute bronchitis due to rhinovirus
E1442,unspecified diabetes mellitus with diabetic polyneuropathy
K071,anomalies of jaw-cranial base relationship
O09,duration of pregnancy
Z357,supervision of high-risk pregnancy due to social problems
D571,sickle-cell anaemia without crisis
Z208,contact with and exposure to other communicable diseases
S5181,open wound (of any part of forearm) communicating with a fracture
N185,"chronic kidney disease, stage 5"
R788,"finding of other specified substances, not normally found in blood"
S4244,"fracture of condyle(s) of humerus, unspecified"
T78,"adverse effects, not elsewhere classified"
Z871,personal history of diseases of the digestive system
O628,other abnormalities of forces of labour
O309,"multiple gestation, unspecified"
E109,type 1 diabetes mellitus without complication
Q909,"down's syndrome, unspecified"
D27,benign neoplasm of ovary
R39,other symptoms and signs involving the urinary system
R068,other and unspecified abnormalities of breathing
T222,"partial thickness [blisters, epidermal loss] burn of shoulder and upper limb, except wrist and hand"
M419,unspecified scoliosis
N76,other inflammation of vagina and vulva
K008,other disorders of tooth development
L259,"unspecified contact dermatitis, unspecified cause"
L70,acne
L662,folliculitis decalvans
A311,cutaneous mycobacterial infection
R19,other symptoms and signs involving the digestive system and abdomen
D369,benign neoplasm of unspecified site
Z988,other specified posprocedural states
Z988,other specified postprocedural states
Q2545,persistent aortic arch
M7996,"unspecified soft tissue disorder, lower leg"
L709,"acne, unspecified"
E02,subclinical iodine-deficiency hypothyroidism
S619,"open wound of wrist and hand part, part unspecified"
D1801,"haemangioma, skin and subcutaneous tissue"
L010,impetigo [any organism] [any site]
H018,other specified inflammation of eyelid
H571,ocular pain
H670,otitis media in bacterial diseases classified elsewhere
Y599,"vaccine or biological substance, unspecified causing adverse effects in therapeutic use"
H680,eustachian salpingitis
J339,"nasal polyp, unspecified"
M8989,"other specified disorders of bone, site unspecified"
H664,"suppurative otitis media, unspecified"
R35,polyuria
E1129,type 2 diabetes mellitus with other specified renal complication
H350,background retinopathy and retinal vascular changes
W19,unspecified fall
R490,dysphonia
O039,"spontaneous abortion, complete or unspecified, without complication"
S6081,abrasion of wrist and hand
L810,postinflammatory hyperpigmentation
J340,"abscess, furuncle and carbuncle of nose"
H062,dysthyroid exophthalmos (e05.-+)
Z368,other antenatal screening
L305,pityriasis alba
L639,"alopecia areata, unspecified"
M7914,"myalgia, hand"
M7916,"myalgia, lower leg"
H938,other specified disorders of ear
R202,paraesthesia of skin
M7911,"myalgia, shoulder region"
E60,dietary zinc deficiency
E611,iron deficiency
G4730,"sleep apnoea, unspecified"
L659,"nonscarring hair loss, unspecified"
H026,xanthelasma of eyelid
K009,"disorder of tooth development, unspecified"
T150,foreign body in cornea
M5489,"other dorsalgia, site unspecified"
L038,cellulitis of other sites
J14,pneumonia due to haemophilus influenzae
M0690,"rheumatoid arthritis, unspecified, multiple sites"
H438,other disorders of vitreous body
H505,heterophoria
H355,hereditary retinal dystrophy
B940,sequelae of trachoma
M349,"systemic sclerosis, unspecified"
M7929,"neuralgia and neuritis, unspecified, site unspecified"
M4699,"unspecified inflammatory spondylopathy, site unspecified"
M6599,"unspecified synovitis and tenosynovitis, site unspecified"
M161,other primary coxarthrosis
M2325,derangement of posterior horn of lateral meniscus due to old tear or injury
S5340,"sprain and strain of elbow, part unspecified"
M6594,"unspecified synovitis and tenosynovitis, hand"
M0609,"seronegative rheumatoid arthritis, site unspecified"
M6581,"other synovitis and tenosynovitis, shoulder region"
M2546,"effusion of joint, lower leg"
S830,dislocation of patella
M0699,"rheumatoid arthritis, unspecified, site unspecified"
M760,gluteal tendinitis
M6586,"other synovitis and tenosynovitis, lower leg"
M518,other specified intervertebral disc disorders
S9341,"sprain and strain of deltoid (ligament), ankle"
M6596,"unspecified synovitis and tenosynovitis, lower leg"
G571,meralgia paraesthetica
M8599,"unspecified disorder of bone density and structure, site unspecified"
S336,sprain and strain of sacroiliac joint
M9320,"osteochondritis dissecans, multiple sites"
M160,"primary coxarthrosis, bilateral"
M1009,"idiopathic gout, site unspecified"
M6268,"muscle strain, other site"
M072,psoriatic spondylitis (l40.5+)
M6524,"calcific tendinitis, hand"
M329,"systemic lupus erythematosus, unspecified"
M0589,"other seropositive rheumatoid arthritis, site unspecified"
S4222,fracture of surgical neck of humerus
K5790,"diverticulosis of intestine, part unspecified, without perforation, abscess or mention of haemorrhage"
S7200,"fracture of neck of femur, part unspecified"
S925,fracture of other toe
M8188,"other osteoporosis, other site"
S6221,fracture of base of first metacarpal bone
M0599,"seropositive rheumatoid arthritis, unspecified, site unspecified"
M6583,"other synovitis and tenosynovitis, forearm"
D531,"other megaloblastic anaemias, not elsewhere classified"
S4200,"fracture of clavicle, part unspecified"
S626,fracture of other finger
M5494,"unspecified dorsalgia, thoracic region"
K042,pulp degeneration
Z23,need for immunisation against single bacterial diseases
O992,"endocrine, nutritional and metabolic diseases complicating pregnancy, childbirth and the puerperium"
T2201,burn of unspecified thickness forearm and elbow
Z001,routine child health examination
O9900,"anaemia complicating pregnancy, childbirth and the puerperium, unspecified"
N858,other specified noninflammatory disorders of uterus
M706,trochanteric bursitis
E831,disorders of iron metabolism
S6358,sprain and strain of other parts of wrist
M929,"juvenile osteochondrosis, unspecified"
R946,abnormal results of thyroid function studies
L539,"erythematous condition, unspecified"
M705,other bursitis of knee
M8199,"unspecified osteoporosis, site unspecified"
M7157,"other bursitis, not elsewhere classified, ankle and foot"
S799,unspecified injury of hip and thigh
E349,"endocrine disorder, unspecified"
E1141,type 2 diabetes mellitus with diabetic mononeuropathy
K317,polyp of stomach and duodenum
J449,"chronic obstructive pulmonary disease, unspecified"
M2381,other internal derangements of anterior cruciate ligament or anterior horn of medial meniscus
C060,malignant neoplasm of cheek mucosa
L0302,cellulitis of toe
J42,unspecified chronic bronchitis
F330,"recurrent depressive disorder, current episode mild"
O233,infections of other parts of urinary tract in pregnancy
K36,other appendicitis
F3290,"depressive episode, unspecified, not specified as arising in the postnatal period"
D692,other nonthrombocytopenic purpura
K626,ulcer of anus and rectum
M8999,"unspecified disorder of bone, site unspecified"
N768,other specified inflammation of vagina and vulva
M2389,"other internal derangements of knee, unspecified ligament or unspecified meniscus"
M2392,unspecified internal derangement of posterior cruciate ligament or posterior horn of medial meniscus
M4056,"unspecified lordosis, lumbar region"
H200,acute and subacute iridocyclitis
M2572,"osteophyte, upper arm"
M1007,"idiopathic gout, ankle and foot"
S6262,fracture of middle phalanx
K116,mucocele of salivary gland
H661,chronic tubotympanic suppurative otitis media
M1997,"arthrosis, unspecified, ankle and foot"
D1804,"haemangioma, structures of the digestive system"
L81,other disorders of pigmentation
R638,other symptoms and signs concerning food and fluid intake
L9050,"scar conditions and fibrosis of skin, due to unspecified cause"
L9050,scar conditions and fibrosis of skin unspecified cause
K039,"disease of hard tissues of teeth, unspecified"
O064,"unspecified abortion, incomplete, without complication"
M4500,"ankylosing spondylitis, multiple sites in spine"
M6522,"calcific tendinitis, upper arm"
S434,sprain and strain of shoulder joint
S863,injury of muscle(s) and tendon(s) of peroneal muscle group at lower leg level
M2585,"other specified joint disorders, pelvic region and thigh"
M7970,"fibromyalgia, multiples sites"
M7970,"fibromyalgia, multiple sites"
M533,"sacrococcygeal disorders, not elsewhere classified"
S469,injury of unspecified muscle and tendon at shoulder and upper arm level
M4125,"other idiopathic scoliosis, thoracolumbar region"
M6281,"other specified disorders of muscle, shoulder region"
S423,fracture of shaft of humerus
M4128,"other idiopathic scoliosis, sacral and sacrococcygeal region"
W551,bitten or struck by cat
H049,"disorder of lacrimal system, unspecified"
M8169,"localised osteoporosis [lequesne], site unspecified"
M2339,other derangements of unspecified meniscus
M2390,"unspecified internal derangement of knee, multiple sites"
O092,duration of pregnancy 14-19 completed weeks
M2485,"other specific joint derangements, not elsewhere classified, pelvic region and thigh"
S8240,"fracture of fibula, part unspecified"
Y590,viral vaccines causing adverse effects in therapeutic use
S665,injury of intrinsic muscle and tendon of other finger at wrist and hand level
L08,other local infections of skin and subcutaneous tissue
R06,abnormalities of breathing
M6521,calcific tendinitis shoulder
I95,hypotension
J18,"pneumonia, organism unspecified"
F980,nonorganic enuresis
M4308,"spondylolysis, sacral and sacrococcygeal region"
M6527,"calcific tendinitis, ankle and foot"
M7257,"fasciitis, not elsewhere classified, ankle and foot"
M4305,"spondylolysis, thoracolumbar region"
R220,"localised swelling, mass and lump, head"
S809,"superficial injury of lower leg, unspecified"
M6584,"other synovitis and tenosynovitis, hand"
S8341,sprain and strain of lateral collateral ligament
S235,sprain and strain of other and unspecified parts of thorax
B279,"infectious mononucleosis, unspecified"
B99,other and unspecified infectious diseases
K033,pathological resorption of teeth
W57,bitten or stung by nonvenomous insect and other nonvenomous arthropods
S435,sprain and strain of acromioclavicular joint
H151,episcleritis
M549,unspecified dorsalgia
R900,intracranial space-occupying lesion
O219,"vomiting of pregnancy, unspecified"
M2399,unspecified internal derangement of unspecified ligament or unspecified meniscus
E550,"rickets, active"
S9084,superficial foreign body (splinter) of ankle and foot
K2960,"other gastritis, without mention of haemorrhage"
M0524,"rheumatoid vasculitis, hand"
N329,"bladder disorder, unspecified"
R600,localised oedema
E882,"lipomatosis, not elsewhere classified"
M8414,"nonunion of fracture [pseudarthrosis], hand"
M4783,"other spondylosis, cervicothoracic region"
N3981,loin pain/haematuria syndrome
G700,myasthenia gravis
M1317,"monoarthritis, not elsewhere classified, ankle and foot"
D539,"nutritional anaemia, unspecified"
Z412,routine and ritual circumcision
G259,"extrapyramidal and movement disorder, unspecified"
J398,other specified diseases of upper respiratory tract
L304,erythema intertrigo
S661,injury of flexor muscle and tendon of other finger at wrist and hand level
E099,impaired glucose regulation without complication
K859,"acute pancreatitis, unspecified"
K859,"acute pancreatitis, unspecified "
S4240,"fracture of lower end of humerus, part unspecified"
E660,obesity due to excess calories
M2547,"effusion of joint, ankle and foot"
S8281,"bimalleolar fracture, ankle"
L0310,cellulitis of upper limb
S6361,sprain and strain of metacarpophalangeal (joint)
M1316,"monoarthritis, not elsewhere classified, lower leg"
M8996,"unspecified disorder of bone, lower leg"
H912,sudden idiopathic hearing loss
D686,other thrombophilia
K518,other ulcerative colitis
G459,"transient cerebral ischaemic attack, unspecified"
M4194,"unspecified scoliosis, thoracic region"
K8080,"other cholelithiasis, without mention of obstruction"
K629,"disease of anus and rectum, unspecified"
S8211,fracture of upper end of tibia with fracture of fibula (any part)
R609,"oedema, unspecified"
M8025,"osteoporosis of disuse with pathological fracture, pelvic region and thigh"
J36,peritonsillar abscess
E106,type 1 diabetes mellitus with other specified complication
E237,"disorder of pituitary gland, unspecified"
M4307,"spondylolysis, lumbosacral region"
N419,"inflammatory disease of prostate, unspecified"
M1999,"arthrosis, unspecified, site unspecified"
K758,other specified inflammatory liver diseases
H690,patulous eustachian tube
A030,shigellosis due to shigella dysenteriae
D332,benign neoplasm of brain unspecified
B370,candidal stomatitis
S620,fracture of navicular [scaphoid] bone of hand
L030,cellulitis of finger and toe
R430,anosmia
E890,postprocedural hypothyroidism
R628,other lack of expected normal physiological development
M6528,"calcific tendinitis, other site"
M8437,"stress fracture, not elsewhere classified, ankle and foot"
M2577,"osteophyte, ankle and foot"
M0624,"rheumatoid bursitis, hand"
S701,contusion of thigh
S0600,concussion
E281,androgen excess
M6743,"ganglion, forearm"
K5792,"diverticulitis of intestine, part unspecified, without perforation, abscess or mention of haemorrhage"
E1173,type 2 diabetes mellitus with foot ulcer due to multiple causes
M0645,"inflammatory polyarthropathy, pelvic region and thigh"
R064,hyperventilation
E052,thyrotoxicosis with toxic multinodular goitre
M4896,"unspecified spondylopathy, lumbar region"
D239,"other benign neoplasms of skin , unspecified"
J312,chronic pharyngitis
H348,other retinal vascular occlusions
S8188,open wound of other parts of lower leg
K080,exfoliation of teeth due to systemic causes
K069,"disorder of gingiva and edentulous alveolar ridge, unspecified"
K132,"leukoplakia and other disturbances of oral epithelium, including tongue"
O321,maternal care for breech presentation
B019,varicella without complication
B779,"ascariasis, unspecified"
N643,galactorrhoea not associated with childbirth
E668,other obesity
M7971,"fibromyalgia, shoulder region"
R12,heartburn
L743,"miliaria, unspecified"
S0602,loss of consciousness of brief duration [less than 30 minutes]
B178,other specified acute viral hepatitis
S059,"injury of eye and orbit, part unspecified"
L9059,scar conditions and fibrosis of skin due to other specified cause
H169,"keratitis, unspecified"
S136,sprain and strain of joints and ligaments of other and unspecified parts of neck
Z9664,presence of hip implant
S731,sprain and strain of hip
S935,sprain and strain of toe(s)
M7961,"pain in limb, shoulder region"
R72,"abnormality of white blood cells, not elsewhere classified"
E78,disorders of lipoprotein metabolism and other lipidaemias
S0001,"superficial injury of scalp, abrasion"
Z36,antenatal screening
B34,viral infection of unspecified site
D72,other disorders of white blood cells
E09,impaired glucose regulation
G530,postzoster neuralgia (b02.2+)
Z712,person consulting for explanation of investigation findings
J188,"other pneumonia, organism unspecified"
F808,other developmental disorders of speech and language
M6266,"muscle strain, lower leg"
E642,sequelae of vitamin c deficiency
D510,vitamin b12 deficiency anaemia due to intrinsic factor deficiency
Z76,persons encountering health services in other circumstances
M703,other bursitis of elbow
B37,candidiasis
H01,other inflammation of eyelid
Z235,need for immunisation against tetanus alone
S61,open wound of wrist and hand
B35,dermatophytosis
S6368,sprain and strain of other parts of finger
K61,abscess of anal and rectal regions
M4647,"unspecified discitis, lumbosacral region"
M7926,"neuralgia and neuritis, unspecified, lower leg"
H603,other infective otitis externa
M7151,"other bursitis, not elsewhere classified, shoulder region"
M232,derangement of meniscus due to old tear or injury
Z713,dietary counselling and surveillance
M058,other seropositive rheumatoid arthritis
Z71,"persons encountering health services for other counselling and medical advice, not elsewhere classified"
H11,other disorders of conjunctiva
E1101,type 2 diabetes mellitus with hyperosmolarity without nonketotic hyperglycaemic-hyperosmolar coma [nkhhc]
D56,thalassaemia
D513,other dietary vitamin b12 deficiency anaemia
H53,visual disturbances
H119,"disorder of conjunctiva, unspecified"
M32,systemic lupus erythematosus
Z30,contraceptive management
S0154,open wound of tongue and floor of mouth
K12,stomatitis and related lesions
H579,"disorder of eye and adnexa, unspecified"
S9342,sprain and strain of calcaneofibular (ligament)
R827,abnormal findings on microbiological examination of urine
P920,vomiting in newborn
D51,vitamin b12 deficiency anaemia
L918,other hypertrophic disorders of skin
E112,type 2 diabetes mellitus with kidney complication
E756,"lipid storage disorder, unspecified"
L65,other nonscarring hair loss
R82,other abnormal findings in urine
I42,cardiomyopathy
G258,other specified extrapyramidal and movement disorders
J393,"upper respiratory tract hypersensitivity reaction, site unspecified"
S0051,"superficial injury of lip and oral cavity, abrasion"
M5482,"other dorsalgia, cervical region"
G243,spasmodic torticollis
J960,acute respiratory failure
N645,other signs and symptoms in breast
B83,other helminthiases
S7310,"sprain and strain of hip, part unspecified"
K60,fissure and fistula of anal and rectal regions
E56,other vitamin deficiencies
M2421,"disorder of ligament, shoulder region"
S0085,"superficial injury of other parts of head, contusion"
K501,crohn's disease of large intestine
N95,menopausal and other perimenopausal disorders
B348,other viral infections of unspecified site
L680,hirsutism
T384,oral contraceptives
S000,superficial injury of scalp
H04,disorders of lacrimal system
S034,sprain and strain of jaw
M2491,"unspecified joint derangement, shoulder region"
E111,type 2 diabetes mellitus with acidosis
Z910,"personal history of allergy, other than to drugs and biological substances"
K060,gingival recession
Z51,other medical care
E888,other specified metabolic disorders
A062,amoebic nondysenteric colitis
S71,open wound of hip and thigh
T20,burn of head and neck
M7962,"pain in limb, upper arm"
S618,open wound of other parts of wrist and hand
L603,nail dystrophy
E114,type 2 diabetes mellitus with neurological complication
E86,volume depletion
T1301,"abrasion of lower limb, level unspecified"
H193,keratitis and keratoconjunctivitis in other diseases classified elsewhere
M779,"enthesopathy, unspecified"
E568,deficiency of other vitamins
D485,neoplasm of uncertain or unknown behaviour of skin
H654,other chronic nonsuppurative otitis media
R63,symptoms and signs concerning food and fluid intake
H939,"disorder of ear, unspecified"
H209,"iridocyclitis, unspecified"
T144,injury of nerve(s) of unspecified body region
S902,contusion of toe(s) with damage to nail
H92,otalgia and effusion of ear
R560,febrile convulsions
N77,vulvovaginal ulceration and inflammation in diseases classified elsewhere
M199,"arthrosis, unspecified"
S408,other superficial injuries of shoulder and upper arm
J05,acute obstructive laryngitis [croup] and epiglottitis
B085,enteroviral vesicular pharyngitis
K269,"duodenal ulcer, unspecified as acute or chronic, without haemorrhage or perforation"
K6358,other polyp of colon
H720,central perforation of tympanic membrane
H659,"nonsuppurative otitis media, unspecified"
O600,preterm labour without delivery
T151,foreign body in conjunctival sac
G470,disorders of initiating and maintaining sleep [insomnias]
E1161,type 2 diabetes mellitus with specified diabetic musculoskeletal and connective tissue complication
M6523,"calcific tendinitis, forearm"
M5481,"other dorsalgia, occipito-atlanto-axial region"
F452,hypochondriacal disorder
E0972,impaired glucose regulation with features of insulin resistance
T202,"partial thickness [blisters, epidermal loss] burn of head and neck"
M8907,"algoneurodystrophy, ankle and foot"
M358,other specified systemic involvement of connective tissue
Q282,arteriovenous malformation of cerebral vessels
G544,"lumbosacral root disorders, not elsewhere classified"
M8028,"osteoporosis of disuse with pathological fracture, other site"
B972,coronavirus as the cause of diseases classified to other chapters
G729,"myopathy, unspecified"
S6352,sprain and strain of radiocarpal (joint) (ligament)
G519,"disorder of facial nerve, unspecified"
C629,"malignant neoplasm of testis, unspecified"
H13,disorders of conjunctiva in diseases classified elsewhere
A04,other bacterial intestinal infections
I40,acute myocarditis
R52,"pain, not elsewhere classified"
E53,deficiency of other b group vitamins
R09,other symptoms and signs involving the circulatory and respiratory systems
K01,embedded and impacted teeth
O26,maternal care for other conditions predominantly related to pregnancy
